problemid,skill
104051147,equation-solving
104051075,reading-graph
104051076,reading-graph
104051067,square-root
104051068,square-root
104051069,square-root
104051070,square-root
104051071,square-root
104051072,square-root
104051073,square-root
104051235,supplementary-angles
104050984,order-of-operations
104050985,exponents
104050986,order-of-operations
104050987,multiplication
104050988,order-of-operations
104051309,substitution
104051310,substitution
104051311,substitution
104051426,algebraic-manipulation
104051275,multiplication
104051276,multiplication
104051277,multiplication
104051376,subtraction
104051377,subtraction
104051378,subtraction
104051379,subtraction
104051444,noskill
104051397,noskill
104051285,division
104051286,division
104051272,subtraction
104051273,subtraction
9104051413,pattern-finding
9104050835,probability
104051429,properties-of-geometric-figures
9104050823,probability
104051430,sum-of-interior-angles-more-than-3-sides
104051431,sum-of-interior-angles-more-than-3-sides
104051245,inducing-functions
104051246,inducing-functions
104051247,inducing-functions
104051248,inducing-functions
104051238,supplementary-angles
104051239,sum-of-interior-angles-triangle
104051240,sum-of-interior-angles-triangle
104051228,properties-of-geometric-figures
104051229,properties-of-geometric-figures
104051230,properties-of-geometric-figures
104051062,point-plotting
104051063,point-plotting
104051064,point-plotting
104051065,reading-graph
104050776,equivalent-fractions-decimals-percents
104050807,combinatorics
104050808,combinatorics
104050809,combinatorics
104050817,probability
104050818,probability
104050819,probability
104050820,probability
104050759,probability
104050760,probability
104050761,probability
104050839,least-common-multiple
104050840,least-common-multiple
104050841,least-common-multiple
104050842,least-common-multiple
104050748,probability
104050785,probability
104050739,probability
104050740,probability
104050741,probability
104050742,probability
104050829,probability
104050795,probability
104050796,probability
104050797,probability
104050798,probability
104050799,probability
104050767,probability
104050754,probability
104050755,probability
104050756,probability
104050781,probability
104050782,probability
104050784,probability
104050471,multiplying-positive-negative-numbers
104050472,exponents
104050473,exponents
104050722,proportion
104050706,inducing-functions
104050551,percent-of
104050552,percent-of
104050553,percent-of
104050480,finding-percents
104050481,finding-percents
104050524,algebraic-manipulation
104050525,algebraic-manipulation
104050607,square-root
104050608,interpreting-numberline
104050615,subtraction
104050616,subtraction
104050617,addition
104050427,equivalent-fractions-decimals-percents
104050428,equivalent-fractions-decimals-percents
104050382,percents
104050381,percents
104050505,square-root
104050506,square-root
104050507,square-root
104050508,square-root
104050611,equation-solving
104050612,equation-solving
104050450,making-sense-of-expressions-and-equations
104050451,making-sense-of-expressions-and-equations
104051421,proportion
104051422,proportion
104051423,proportion
104051424,proportion
104050546,proportion
104050547,proportion
104050548,proportion
104050549,proportion
104050378,number-line
104050196,inequalities
104050195,graph interpretation
104050194,algebra symbolization
104050379,equation-solving
104050205,interpreting-numberline
104050208,interpreting-numberline
104050234,interpreting-numberline
104050241,interpreting-numberline
104050362,equation-solving
104050363,equation-solving
104050364,equation-solving
104050365,equation-solving
104050366,equation-solving
104050367,equation-solving
104050368,equation-solving
104050242,inequality-solving
104050212,interpreting-numberline
104050213,interpreting-numberline
104050214,interpreting-numberline
104050374,equation-solving
104050375,equation-solving
104050376,equation-solving
104050377,equation-solving
104050216,inequality-solving
104050217,inequality-solving
104050218,inequality-solving
104050219,inequality-solving
104050220,inequality-solving
104050221,inequality-solving
104051012,point-plotting
104050989,interpreting-linear-equations
104050990,interpreting-linear-equations
104050991,interpreting-linear-equations
104050992,interpreting-linear-equations
104051001,interpreting-linear-equations
104051004,interpreting-linear-equations
104051005,interpreting-linear-equations
104051006,interpreting-linear-equations
104051007,interpreting-linear-equations
104051038,evaluating-functions
104051039,evaluating-functions
104051040,evaluating-functions
104051041,evaluating-functions
104051042,evaluating-functions
104051043,evaluating-functions
104051019,interpreting-linear-equations
104050993,interpreting-linear-equations
104050994,interpreting-linear-equations
104050995,interpreting-linear-equations
104050996,interpreting-linear-equations
104051025,interpreting-linear-equations
104051026,interpreting-linear-equations
104051008,interpreting-linear-equations
104051009,interpreting-linear-equations
104051010,interpreting-linear-equations
104051011,interpreting-linear-equations
104051015,reading-graph
104050256,subtraction
104050257,symbolization-articulation
104050258,symbolization-articulation
104050259,symbolization-articulation
104050002,sum-of-interior-angles-triangle
104050003,algebraic-manipulation
9104050767,probability
104050769,probability
104050013,pattern-finding
104050014,pattern-finding
104050015,pattern-finding
104050016,inducing-functions
104050021,inducing-functions
104050027,inducing-functions
104050028,pattern-finding
104050029,pattern-finding
104050406,graph-shape
104050407,graph-shape
104050408,graph-shape
104050409,graph-shape
9104050001,algebraic-manipulation
9104050027,inducing-functions
104050004,algebraic-manipulation
104050005,sum-of-interior-angles-triangle
104050006,equation-concept
104050283,symbolization-articulation
104050295,sum-of-interior-angles-more-than-3-sides
104050343,surface-area-and-volume
104050338,algebraic-manipulation
104050333,inducing-functions
104050324,order-of-operations
9104050315,symbolization-articulation
104050317,symbolization-articulation
104050318,symbolization-articulation
104050261,symbolization-articulation
104050262,symbolization-articulation
104050263,symbolization-articulation
104050301,sum-of-interior-angles-more-than-3-sides
104050302,sum-of-interior-angles-more-than-3-sides
104050303,sum-of-interior-angles-more-than-3-sides
9104050399,graph-shape
104050401,graph-shape
104050402,graph-shape
104050403,graph-shape
104050404,graph-shape
104050397,graph-shape
104050398,graph-shape
104050576,median
104050577,median
104050578,simple-calculation
104050030,pattern-finding
104050031,pattern-finding
104050032,pattern-finding
104050033,pattern-finding
104050034,pattern-finding
104050035,pattern-finding
104050086,pattern-finding
104050175,inducing-functions
104050176,pattern-finding
104050177,pattern-finding
104050178,symbolization-articulation
104050179,symbolization-articulation
104050180,inducing-functions
9104050776,equivalent-fractions-decimals-percents
104050777,probability
104050779,probability
104050830,probability
104050831,probability
104050832,probability
104050833,probability
9104050817,probability
104050790,probability
104050791,probability
104050792,probability
104050793,probability
9104050175,inducing-functions
104050058,evaluating-functions
104050115,division
104050285,symbolization-articulation
104051161,multiplying-decimals
104051162,multiplying-decimals
104051163,multiplying-decimals
104051164,multiplying-decimals
104051165,multiplying-decimals
104051000,equation-solving
104050713,inducing-functions
104050714,inducing-functions
104050715,inducing-functions
104050716,inducing-functions
104050717,inducing-functions
104050718,inducing-functions
104050719,inducing-functions
104050720,inducing-functions
104050707,inducing-functions
104050708,inducing-functions
104050709,inducing-functions
104050710,inducing-functions
104050711,inducing-functions
104050712,inducing-functions
104050304,sum-of-interior-angles-more-than-3-sides
104050305,sum-of-interior-angles-more-than-3-sides
104050306,sum-of-interior-angles-more-than-3-sides
104050307,sum-of-interior-angles-more-than-3-sides
104050308,sum-of-interior-angles-more-than-3-sides
104050309,sum-of-interior-angles-more-than-3-sides
104050310,sum-of-interior-angles-more-than-3-sides
104050311,sum-of-interior-angles-more-than-3-sides
104051016,reading-graph
104051017,reading-graph
104051018,reading-graph
104050813,probability
104050814,probability
104050815,probability
104050783,probability
9104050789,probability
104050866,linear-area-volume-conversion
104050867,linear-area-volume-conversion
104050868,linear-area-volume-conversion
104050869,linear-area-volume-conversion
104050860,scientific-notation
104050861,scientific-notation
104050862,scientific-notation
104050863,scientific-notation
104050864,scientific-notation
104050865,scientific-notation
104050843,scientific-notation
104050936,stem-and-leaf-plot
104050937,median
104050938,median
104050939,median
104050560,multiplication
104050561,multiplication
104050562,multiplication
104050563,multiplication
9104050456,scientific-notation
104050458,scientific-notation
104050529,fraction-division
104050530,fraction-division
9104050260,symbolization-articulation
9104050437,percent-of
104051128,multiplication
104051152,multiplying-decimals
104051334,ordering-numbers
104051335,ordering-numbers
104051290,addition
104051291,addition
104051292,addition
9104050753,probability
9104050956,divide-decimals
104051332,multiplication
104050736,probability
104050737,probability
104050738,probability
104051298,multiplication
104051299,multiplication
104051300,multiplication
9104051318,substitution
104051319,substitution
104051320,substitution
104051346,subtraction
104051347,subtraction
104051348,subtraction
104051349,subtraction
104051350,subtraction
104051351,subtraction
104051352,ordering-numbers
104051313,substitution
104051314,substitution
9104051425,algebraic-manipulation
104051129,multiplication
104051130,multiplication
104051131,multiplication
104051306,substitution
104051307,substitution
104051303,substitution
104051304,substitution
104051316,substitution
104051317,substitution
104051409,substitution
104051410,substitution
104051411,substitution
104051412,substitution
104051419,proportion
104051420,proportion
104050544,proportion
104050545,proportion
104050778,probability
104050768,probability
104050770,probability
104050786,probability
104050787,probability
104050788,probability
9104050255,symbolization-articulation
104050335,equation-concept
104050336,equation-concept
104050337,inducing-functions
9104050325,order-of-operations
9104050195,graph interpretation
9104050242,inequality-solving
104050244,inequality-solving
104050245,inequality-solving
104050246,interpreting-numberline
104050247,inequality-solving
104050248,p-patterns-relations-algebra
104050249,inequality-solving
104050250,interpreting-numberline
9104050369,inequality-solving
104051264,percents
104051265,percents
104051266,equation-solving
104051328,multiplication
104051329,multiplication
104051396,noskill
104051394,noskill
104051395,noskill
104050415,multiplying-decimals
104050418,multiplying-decimals
9104050550,discount
104050726,multiplying-decimals
104050727,multiplying-decimals
9104050685,fractions
9104051405,equation-solving
9104050222,inequality-solving
104051236,sum-of-interior-angles-triangle
104050457,scientific-notation
104050229,inequality-solving
104050230,inequality-solving
104051021,graph-shape
104051022,graph-shape
104051023,graph-shape
104051024,graph-shape
104050579,ordering-numbers
104050572,prime-number
104050573,prime-number
104050289,evaluating-functions
104050036,inducing-functions
104050037,pattern-finding
104050038,pattern-finding
104050102,pattern-finding
104050164,pattern-finding
104050181,inducing-functions
104050187,pattern-finding
104050188,pattern-finding
104050189,pattern-finding
104050190,pattern-finding
104050191,pattern-finding
104050192,pattern-finding
104050193,pattern-finding
104050130,pattern-finding
104050082,pattern-finding
104050071,inducing-functions
104050574,prime-number
104050583,scientific-notation
104050586,multiplying-decimals
104050591,discount
104050595,discount
104050600,finding-percents
9104050419,percents
104050264,inducing-functions
104050139,pattern-finding
104050312,inducing-functions
104050313,inducing-functions
104050094,pattern-finding
104050052,evaluating-functions
104050064,inducing-functions
104050007,symbolization-articulation
104050269,area
104050121,pattern-finding
104050078,interpreting-numberline
104050279,divide-decimals
104050280,divide-decimals
104050281,symbolization-articulation
104050282,symbolization-articulation
104050110,pattern-finding
9104050110,pattern-finding
104050111,pattern-finding
104050112,pattern-finding
104050113,pattern-finding
104050114,pattern-finding
104050329,inducing-functions
104050171,algebraic-manipulation
104050150,division
104050297,sum-of-interior-angles-more-than-3-sides
104050298,sum-of-interior-angles-triangle
104050299,sum-of-interior-angles-more-than-3-sides
9104050344,symbolization-articulation
104051326,making-sense-of-expressions-and-equations
9104051267,evaluating-functions
9104051312,substitution
104051427,algebraic-manipulation
9104051270,subtraction
9104050785,probability
9104050513,fraction-multiplication
9104050536,discount
9104050523,algebraic-manipulation
9104051421,proportion
104051365,point-plotting
104051366,point-plotting
104051367,point-plotting
104051361,point-plotting
104051373,addition
104051374,addition
9104050211,interpreting-numberline
9104050373,equation-solving
9104050016,inducing-functions
104050018,pattern-finding
104050019,pattern-finding
104050020,pattern-finding
9104050021,inducing-functions
104050023,pattern-finding
104050024,pattern-finding
104050025,pattern-finding
104050026,pattern-finding
104051255,pattern-finding
104051256,pattern-finding
104051362,point-plotting
104051363,point-plotting
104051357,ordering-numbers
104051358,ordering-numbers
104051359,ordering-numbers
9104050977,exponents
104050198,interpreting-numberline
104050199,interpreting-numberline
104050200,interpreting-numberline
9104050304,sum-of-interior-angles-more-than-3-sides
9104050215,inequality-solving
104050518,order-of-operations
104050519,order-of-operations
104050749,probability
104050750,probability
104050751,probability
104050243,inequality-solving
104050316,symbolization-articulation
104050231,inequality-solving
104050232,interpreting-numberline
104050358,equation-solving
104050359,square-root
104050360,equation-solving
9104051061,point-plotting
9104051190,pattern-finding
9104051244,inducing-functions
9104051144,equation-solving
9104050405,graph-shape
104050851,median
104050871,mean
9104050807,combinatorics
9104050739,probability
9104050795,probability
9104051237,sum-of-interior-angles-triangle
104050638,pythagorean-theorem
104050627,algebraic-manipulation
104050810,probability
104050821,probability
104050209,interpreting-numberline
104050210,interpreting-numberline
104050206,interpreting-numberline
104050207,interpreting-numberline
104050503,order-of-operations
104050454,subtracting-decimals
104050455,subtracting-decimals
104050467,square-root
9104050197,interpreting-numberline
104050202,interpreting-numberline
104050203,interpreting-numberline
9104050660,subtracting-decimals
9104050349,fractions
104050320,substitution
104050321,substitution
104050322,substitution
104050323,substitution
9104050011,inducing-functions
104050156,algebraic-manipulation
104050828,probability
104051279,division
104051282,multiplication
104051283,multiplication
104050723,proportion
9104050251,symbolization-articulation
104050022,pattern-finding
104050087,subtraction
104050088,subtraction
104050089,subtraction
104050090,subtraction
104050091,pattern-finding
104050092,pattern-finding
104050093,pattern-finding
104050072,inducing-functions
104050073,inducing-functions
104050074,inducing-functions
104050075,inducing-functions
104050076,inducing-functions
104050077,inducing-functions
104050042,inducing-functions
104050043,inducing-functions
104050044,inducing-functions
104050045,inducing-functions
104050046,inducing-functions
104050047,inducing-functions
104050048,inducing-functions
104050049,inducing-functions
104050050,inducing-functions
104050051,inducing-functions
9104050924,finding-percents
9104051333,ordering-numbers
9104050763,probability
9104050479,finding-percents
104050889,fraction-decimals-percents
104050890,fraction-decimals-percents
104050891,fraction-decimals-percents
104050892,fraction-decimals-percents
9104050913,fraction-division
104050844,scientific-notation
104050845,scientific-notation
104050846,scientific-notation
104050847,scientific-notation
104050848,scientific-notation
104050849,scientific-notation
9104050295,sum-of-interior-angles-more-than-3-sides
9104050012,inducing-functions
9104050196,inequalities
104051002,interpreting-linear-equations
104051003,interpreting-linear-equations
104051013,point-plotting
104051014,point-plotting
104050314,inducing-functions
104050079,interpreting-numberline
104050080,interpreting-numberline
104050081,interpreting-numberline
104050140,subtraction
104050146,subtraction
104050147,subtraction
104050148,pattern-finding
104050149,pattern-finding
104050141,subtraction
104050142,pattern-finding
104050143,pattern-finding
104050144,pattern-finding
104050145,pattern-finding
104050265,inducing-functions
104050266,inducing-functions
104050267,inducing-functions
104050268,inducing-functions
104050580,n-number-sense-operations
104050581,n-number-sense-operations
104050582,n-number-sense-operations
9104050572,prime-number
104050587,multiplying-decimals
104050588,multiplying-decimals
104050589,multiplying-decimals
104050590,multiplying-decimals
104050592,discount
104051280,division
9104051204,area
104050017,pattern-finding
9104050449,making-sense-of-expressions-and-equations
104050065,addition
104050532,percent-of
104050533,discount
9104051048,multiplication
9104051093,square-root
9104051132,supplementary-angles
